Date	Open	High	Low	Close	Adj Close	Volume
2016-01-04	182.669998	184.600006	180.46000700000002	181.809998	181.809998	1196000
2016-01-05	182.570007	183.880005	180.729996	182.669998	182.669998	568000
2016-01-06	180.389999	183.270004	179.130005	183.21000700000002	183.21000700000002	870400
2016-01-07	179.800003	186.490005	179.800003	182.979996	182.979996	1034500
2016-01-08	184.800003	184.800003	181.649994	182.169998	182.169998	847400
2016-01-11	182.639999	183.929993	179.860001	182.0	182.0	559600
2016-01-12	182.809998	185.979996	182.75	185.619995	185.619995	675400
2016-01-13	186.0	186.0	178.5	179.08999599999999	179.08999599999999	877900
2016-01-14	179.08999599999999	180.369995	173.860001	177.880005	177.880005	1606700
2016-01-15	173.199997	174.490005	168.399994	170.449997	170.449997	1658400
2016-01-19	171.979996	177.949997	170.389999	175.309998	175.309998	1040700
2016-01-20	173.300003	175.96000700000002	168.529999	174.259995	174.259995	1556300
2016-01-21	174.5	180.580002	173.100006	176.5	176.5	1213300
2016-01-22	177.949997	180.16000400000001	175.550003	179.729996	179.729996	1041300
2016-01-25	178.5	179.78999299999998	175.25	175.66000400000001	175.66000400000001	873600
2016-01-26	176.580002	179.949997	175.669998	179.130005	179.130005	815300
2016-01-27	178.830002	179.559998	172.899994	173.929993	173.929993	812800
2016-01-28	175.830002	175.83999599999999	171.28999299999998	174.33999599999999	174.33999599999999	763700
2016-01-29	175.33999599999999	181.300003	174.880005	181.169998	181.169998	1054500
2016-02-01	179.919998	182.009995	177.759995	180.570007	180.570007	748100
2016-02-02	179.740005	180.720001	176.46000700000002	177.029999	177.029999	650100
2016-02-03	180.5	181.429993	171.25	173.46000700000002	173.46000700000002	1069100
2016-02-04	173.550003	173.550003	167.5	168.880005	168.880005	1293300
2016-02-05	168.75	169.479996	155.809998	159.71000700000002	159.71000700000002	2367500
2016-02-08	156.759995	156.850006	152.75	155.33999599999999	155.33999599999999	1885500
2016-02-09	152.0	155.91000400000001	148.600006	151.979996	151.979996	1777300
2016-02-10	152.78999299999998	156.119995	151.830002	153.83999599999999	153.83999599999999	1439000
2016-02-11	152.53999299999998	154.66000400000001	150.100006	153.309998	153.309998	1200600
2016-02-12	156.240005	158.639999	154.28999299999998	158.490005	158.490005	1066400
2016-02-16	160.610001	161.889999	157.600006	159.020004	159.020004	971400
