FOXA
FOX
MMM
ABT
ABMD
ACN
ATVI
AAP
AMD
ADBE
AES
AET
AMG
AFL
A
AIV
APD
AKAM
ALB
ALK
ARE
ALXN
ALGN
AGN
ADS
LNT
ALL
GOOGL
GOOG
MO
AMZN
AEE
AAL
AEP
AXP
AIG
AMT
AWK
AMP
ABC
AME
AMGN
APH
APC
ADI
ANDV
ANSS
ANTM
AON
AOS
APA
AAPL
AMAT
ADM
ARNC
AJG
AIZ
T
ADSK
ADP
AZO
AVB
AVY
BHGE
BLL
BAC
BAX
BBT
BDX
BRK-B
BBY
BIIB
BLK
BK
BA
BWA
BXP
BSX
BHF
BMY
AVGO
BR
BF-B
CA
COG
CDNS
CPB
COF
CAH
KMX
CCL
CAT
CBOE
CBRE
CBS
CELG
CNC
CNP
CTL
CERN
CF
SCHW
CHTR
CVX
CMG
CHRW
CB
CHD
CI
XEC
CINF
CTAS
CSCO
C
CTXS
CLX
CME
CMS
KO
CTSH
CL
CMCSA
CMA
CAG
CXO
COP
ED
STZ
COO
CPRT
GLW
COST
CCI
CSX
CMI
CVS
DHR
DRI
DVA
DE
DLPH
DAL
XRAY
DVN
DLR
DFS
DISCA
DISCK
DISH
DIS
DG
DLTR
D
DOV
DWDP
DHI
DTE
DUK
DRE
DXC
EMN
ETN
EBAY
ECL
EIX
EW
EA
LLY
EMR
ETR
EOG
EQT
EFX
EQR
ESS
EL
ETFC
RE
ES
EXC
EXPE
EXPD
ESRX
EQIX
EXR
XOM
FFIV
FAST
FRT
FDX
FIS
FITB
FE
FISV
FLT
FLIR
FLS
FLR
FMC
FTI
F
FL
FBHS
BEN
FCX
GPS
GRMN
IT
GD
GE
GIS
GM
GPC
GILD
GPN
GS
GT
HAL
HBI
HOG
HRS
HAS
HCA
HCP
HP
HSIC
HSY
HES
HPQ
HFC
HOLX
HD
HON
HRL
HST
HRB
HUM
HBAN
HII
IBM
IDXX
ITW
ILMN
INCY
IR
INTC
ICE
IFF
IP
IPG
INTU
ISRG
IVZ
IPGP
IRM
JEC
JBHT
SJM
JCI
JNJ
JPM
JNPR
KSU
K
KEY
KMB
KIM
KMI
KLAC
KSS
KR
LB
LLL
LH
LRCX
LEG
LEN
LKQ
LNC
LMT
L
LOW
LYB
MAC
M
MRO
MPC
MAR
MMC
MLM
MAS
MA
MAT
MKC
MCD
MCK
MDT
MRK
MET
MTD
MGM
KORS
MCHP
MU
MSFT
MAA
MSCI
MHK
TAP
MDLZ
MNST
MCO
MS
MOS
MSI
MTB
MYL
NDAQ
NOV
NKTR
NTAP
NFLX
NWL
NFX
NEM
NEE
NLSN
NKE
NI
NBL
JWN
NSC
NTRS
NOC
NRG
NUE
NVDA
OXY
OMC
OKE
ORCL
ORLY
PCAR
PKG
PH
PAYX
PNR
PBCT
PEP
PKI
PRGO
PFE
PCG
PM
PNW
PXD
PNC
PPL
PX
BKNG
PFG
PG
PGR
PLD
PRU
PEG
PSA
PHM
PVH
QCOM
PWR
RL
RJF
RTN
O
RHT
REG
REGN
RF
RSG
RMD
RHI
ROK
COL
ROP
ROST
RCL
SPGI
CRM
SBAC
SCG
SLB
STX
SEE
SRE
SHW
SIVB
SPG
SWKS
SLG
SNA
SO
LUV
SWK
SBUX
STT
SRCL
SYK
STI
SYMC
SNPS
SYY
TTWO
TPR
TGT
TEL
TXN
TXT
HIG
TMO
TIF
TJX
TMK
TSS
TSCO
TDG
TRV
TRIP
TROW
TSN
UDR
ULTA
UNP
UNH
UAL
UPS
URI
UTX
UHS
UNM
USB
VLO
VAR
VTR
VRSN
VRSK
VZ
VRTX
VFC
VIAB
V
VNO
VMC
WBA
WMT
WM
WAT
WFC
WELL
WDC
WU
WY
WHR
WMB
WLTW
WEC
GWW
WYNN
XEL
XRX
XLNX
XL
XYL
YUM
ZBH
ZION
